ca.rmen.android.poetassistant - Crashes by Android Version for 2017-03-15 - 2019-02-24
,,Metric,Crashes,Notes
,,Dimension,All Android versions
Period,Date
2017-03-15 - 2019-02-24,2017-10-30,,-
2017-03-15 - 2019-02-24,2017-10-31,,1
2017-03-15 - 2019-02-24,2017-11-01,,2
2017-03-15 - 2019-02-24,2017-11-02,,4,Rollout of release - Started rollout of 1.22.3 at 5%
2017-03-15 - 2019-02-24,2017-11-03,,1
2017-03-15 - 2019-02-24,2017-11-04,,2,Rollout of release - Increased rollout of 1.22.3 to 50%
2017-03-15 - 2019-02-24,2017-11-05,,3,"Rollout of release - Increased rollout of 1.22.3 to 100%, Rollout of release - Started rollout of 1.23.0 at 5%"
2017-03-15 - 2019-02-24,2017-11-06,,3,Rollout of release - Increased rollout of 1.23.0 to 10%
2017-03-15 - 2019-02-24,2017-11-07,,-,Rollout of release - Increased rollout of 1.23.0 to 50%
2017-03-15 - 2019-02-24,2017-11-08,,14,"Rollout of release - Increased rollout of 1.23.0 to 100%, Rollout of release - Started rollout of 1.24.0 at 5%"
2017-03-15 - 2019-02-24,2017-11-09,,-,Rollout of release - Increased rollout of 1.24.0 to 10%
2017-03-15 - 2019-02-24,2017-11-10,,7,Rollout of release - Increased rollout of 1.24.0 to 50%
2017-03-15 - 2019-02-24,2017-11-11,,2,Rollout of release - Increased rollout of 1.24.0 to 100%
2017-03-15 - 2019-02-24,2017-11-12,,1
2017-03-15 - 2019-02-24,2017-11-13,,9,Rollout of release - Started rollout of 1.25.0 at 5%
2017-03-15 - 2019-02-24,2017-11-14,,2,Rollout of release - Increased rollout of 1.25.0 to 100%
2017-03-15 - 2019-02-24,2017-11-15,,5
2017-03-15 - 2019-02-24,2017-11-16,,6,Rollout of release - Started rollout of 1.25.1 at 5%
2017-03-15 - 2019-02-24,2017-11-17,,1,Rollout of release - Increased rollout of 1.25.1 to 10%
2017-03-15 - 2019-02-24,2017-11-18,,5
2017-03-15 - 2019-02-24,2017-11-19,,4,Rollout of release - Increased rollout of 1.25.1 to 50%
2017-03-15 - 2019-02-24,2017-11-20,,4,Rollout of release - Increased rollout of 1.25.1 to 100%
2017-03-15 - 2019-02-24,2017-11-21,,3
2017-03-15 - 2019-02-24,2017-11-22,,1
2017-03-15 - 2019-02-24,2017-11-23,,1
2017-03-15 - 2019-02-24,2017-11-24,,-
2017-03-15 - 2019-02-24,2017-11-25,,1
2017-03-15 - 2019-02-24,2017-11-26,,2
2017-03-15 - 2019-02-24,2017-11-27,,-
2017-03-15 - 2019-02-24,2017-11-28,,-
2017-03-15 - 2019-02-24,2017-11-29,,1
2017-03-15 - 2019-02-24,2017-11-30,,-
2017-03-15 - 2019-02-24,2017-12-01,,2
2017-03-15 - 2019-02-24,2017-12-02,,1
2017-03-15 - 2019-02-24,2017-12-03,,2
2017-03-15 - 2019-02-24,2017-12-04,,4
2017-03-15 - 2019-02-24,2017-12-05,,1
2017-03-15 - 2019-02-24,2017-12-06,,2
2017-03-15 - 2019-02-24,2017-12-07,,7
2017-03-15 - 2019-02-24,2017-12-08,,3
2017-03-15 - 2019-02-24,2017-12-09,,2
2017-03-15 - 2019-02-24,2017-12-10,,-
2017-03-15 - 2019-02-24,2017-12-11,,1
2017-03-15 - 2019-02-24,2017-12-12,,2
2017-03-15 - 2019-02-24,2017-12-13,,2
2017-03-15 - 2019-02-24,2017-12-14,,3
2017-03-15 - 2019-02-24,2017-12-15,,-
2017-03-15 - 2019-02-24,2017-12-16,,1
2017-03-15 - 2019-02-24,2017-12-17,,2
2017-03-15 - 2019-02-24,2017-12-18,,2
2017-03-15 - 2019-02-24,2017-12-19,,3
2017-03-15 - 2019-02-24,2017-12-20,,12
2017-03-15 - 2019-02-24,2017-12-21,,6
2017-03-15 - 2019-02-24,2017-12-22,,4
2017-03-15 - 2019-02-24,2017-12-23,,2
2017-03-15 - 2019-02-24,2017-12-24,,1
2017-03-15 - 2019-02-24,2017-12-25,,2
2017-03-15 - 2019-02-24,2017-12-26,,-
2017-03-15 - 2019-02-24,2017-12-27,,8
2017-03-15 - 2019-02-24,2017-12-28,,2
2017-03-15 - 2019-02-24,2017-12-29,,1
2017-03-15 - 2019-02-24,2017-12-30,,2
2017-03-15 - 2019-02-24,2017-12-31,,2
2017-03-15 - 2019-02-24,2018-01-01,,8,Rollout of release - Started rollout of 1.26.1 at 5%
2017-03-15 - 2019-02-24,2018-01-02,,9
2017-03-15 - 2019-02-24,2018-01-03,,2
2017-03-15 - 2019-02-24,2018-01-04,,8
2017-03-15 - 2019-02-24,2018-01-05,,9
2017-03-15 - 2019-02-24,2018-01-06,,3,"Rollout of release - Started rollout of 1.26.2 at 5%, Rollout of release - Halted rollout of 1.26.1"
2017-03-15 - 2019-02-24,2018-01-07,,3
2017-03-15 - 2019-02-24,2018-01-08,,13
2017-03-15 - 2019-02-24,2018-01-09,,4,Rollout of release - Increased rollout of 1.26.2 to 10%
2017-03-15 - 2019-02-24,2018-01-10,,1
2017-03-15 - 2019-02-24,2018-01-11,,2,Rollout of release - Increased rollout of 1.26.2 to 20%
2017-03-15 - 2019-02-24,2018-01-12,,4,Rollout of release - Increased rollout of 1.26.2 to 50%
2017-03-15 - 2019-02-24,2018-01-13,,5,Rollout of release - Increased rollout of 1.26.2 to 75%
2017-03-15 - 2019-02-24,2018-01-14,,-
2017-03-15 - 2019-02-24,2018-01-15,,-
2017-03-15 - 2019-02-24,2018-01-16,,-
2017-03-15 - 2019-02-24,2018-01-17,,2
